t_s,n_m,e_m,alt_m,yaw_deg
40.5075085000135,0.011,-0.323,10.25,-0.15
40.61050079995766,0.011,-0.323,10.398,-0.14
40.71149559994228,0.011,-0.323,10.547,-0.16
40.81473320000805,0.012,-0.324,10.696,-0.15
40.91929280012846,0.012,-0.324,10.846,-0.17
41.0395184000954,0.013,-0.324,10.997,-0.16
41.159948100103065,0.013,-0.324,11.148,-0.16
41.28118639998138,0.014,-0.325,11.3,-0.14
41.40514750010334,0.014,-0.325,11.453,-0.13
41.52480070013553,0.015,-0.325,11.606,-0.12
41.63793860003352,0.015,-0.325,11.76,-0.12
41.73892010003328,0.016,-0.325,11.915,-0.13
41.86348560010083,0.016,-0.326,12.07,-0.13
41.98239540006034,0.017,-0.326,12.226,-0.14
42.21186659997329,0.017,-0.326,12.383,-0.14
42.34009910002351,0.017,-0.326,12.54,-0.15
42.460958499927074,0.018,-0.326,12.698,-0.14
42.568456100067124,0.018,-0.327,12.856,-0.14
42.676436899928376,0.019,-0.327,13.015,-0.11
42.7868129000999,0.019,-0.327,13.175,-0.12
42.90972499991767,0.02,-0.327,13.335,-0.11
43.034147900063545,0.02,-0.327,13.497,-0.13
43.246400699950755,0.021,-0.328,13.658,-0.12
43.385331199970096,0.022,-0.328,13.821,-0.14
43.5236573999282,0.022,-0.328,13.984,-0.13
43.74220880004577,0.023,-0.328,14.147,-0.15
43.84685570001602,0.023,-0.328,14.311,-0.13
43.94915549992584,0.024,-0.328,14.476,-0.14
44.1560768999625,0.024,-0.328,14.642,-0.11
44.26988020003773,0.025,-0.328,14.808,-0.13
44.37668749992736,0.025,-0.329,14.975,-0.11
44.48076960002072,0.026,-0.329,15.143,-0.14
44.58546199998818,0.026,-0.329,15.311,-0.13
44.68917499994859,0.027,-0.329,15.48,-0.15
44.79520200006664,0.028,-0.329,15.649,-0.13
44.920819899998605,0.028,-0.329,15.819,-0.04
45.053371499991044,0.029,-0.329,15.991,1.27
45.173276900080964,0.029,-0.33,16.164,4.2
45.293750500073656,0.03,-0.33,16.33,8.28
45.41516580013558,0.03,-0.33,16.486,12.39
45.54264300013892,0.031,-0.33,16.632,16.49
45.66402460006066,0.031,-0.33,16.768,20.58
45.78993540001102,0.032,-0.33,16.894,24.67
45.91030599991791,0.032,-0.33,17.01,28.76
46.034111600136384,0.033,-0.331,17.116,32.84
46.14265620009974,0.033,-0.331,17.211,36.92
46.266068700002506,0.034,-0.331,17.297,40.99
46.387374399928376,0.035,-0.331,17.373,45.06
46.50969050009735,0.035,-0.332,17.438,49.12
46.631913100136444,0.036,-0.332,17.494,53.18
46.752083899918944,0.036,-0.332,17.539,57.23
46.862988899927586,0.037,-0.333,17.575,61.28
46.96470180014148,0.038,-0.333,17.6,65.32
47.16936259996146,0.038,-0.334,17.619,71.38
47.27354929991998,0.039,-0.334,17.619,75.41
47.37619860004634,0.039,-0.335,17.61,79.43
47.48278410010971,0.04,-0.335,17.59,83.45
47.58841060008854,0.041,-0.336,17.56,87.46
47.68912660004571,0.041,-0.336,17.52,91.47
47.89373939996585,0.042,-0.337,17.441,97.46
47.99663099995814,0.043,-0.337,17.376,101.45
48.10093730012886,0.043,-0.337,17.301,105.43
48.204945400124416,0.044,-0.337,17.216,109.41
48.30894050002098,0.045,-0.338,17.121,113.38
48.42886140011251,0.045,-0.338,17.016,117.34
48.547684099990875,0.046,-0.338,16.902,121.22
48.67209629993886,0.047,-0.339,16.78,124.76
48.79474340006709,0.047,-0.339,16.65,128.06
48.91443339991383,0.048,-0.34,16.511,131.08
49.02824379992671,0.048,-0.34,16.364,133.9
49.13046439993195,0.049,-0.341,16.207,136.48
49.233880900079384,0.049,-0.341,16.042,138.94
49.33469139994122,0.049,-0.342,15.877,140.67
49.54134460003115,0.05,-0.342,15.632,140.01
49.644168599974364,0.049,-0.342,15.472,137.33
49.74532949994318,0.049,-0.342,15.313,132.84
49.84865349996835,0.049,-0.341,15.155,126.83
49.950866899918765,0.048,-0.34,14.917,116.5
50.05452090012841,0.048,-0.339,14.757,109.96
50.26354270009324,0.047,-0.338,14.518,101.75
50.36606550007127,0.047,-0.338,14.36,97.85
50.46692249993794,0.046,-0.339,14.201,95.05
50.56932980008423,0.046,-0.339,13.962,91.91
50.774098800029606,0.046,-0.341,13.722,88.44
50.87802519998513,0.046,-0.342,13.563,85.35
50.97946790000424,0.046,-0.343,13.403,81.54
51.09976170002483,0.045,-0.344,13.163,74.68
51.218932300107554,0.045,-0.345,13.003,69.94
51.339885799912736,0.044,-0.346,12.842,65.58
51.463067000033334,0.044,-0.346,12.682,61.87
51.58420979999937,0.043,-0.347,12.521,58.84
51.71366130001843,0.043,-0.347,12.361,56.37
51.82946190005168,0.042,-0.348,12.2,54.14
51.96624649991281,0.042,-0.349,12.039,51.83
52.16810619994067,0.042,-0.349,11.878,49.15
52.270039699971676,0.042,-0.35,11.717,46.68
